time,FLOW,TEMP,SALT,OXY_oxy,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop
2019-02-22,0.11343599089145068,5.568958333333333,0,370.21235931134333,126.3866,0.49889135254988914,0.5772495755517827,0.07204384965534777,19.939524080809854,179.4557167272887,19.939524080809854,3.03156219082862,3.03156219082862,6.063124381657239,0.0422602809619141,0.0422602809619141,0.9860732224446623
2019-02-23,0.13288230322482614,5.535104166666667,0,370.5335328624731,126.3866,0.49889135254988914,0.5666383701188455,0.073429308302566,20.11481660020159,181.0333494018143,20.11481660020159,3.098079290028232,3.098079290028232,6.196158580056464,0.04519103336584748,0.04519103336584748,1.054457445203108
2019-02-24,0.12183979218259666,6.03625,0,365.8274384697304,126.3866,0.49889135254988914,0.5560271646859083,0.07481476694978421,20.290109119593325,182.6109820763399,20.290109119593325,3.164596389227844,3.164596389227844,6.329192778455687,0.048121785769780864,0.048121785769780864,1.1228416679615534
2019-02-25,0.10265936198756373,5.131145833333333,0,374.4029326801964,126.3866,0.49889135254988914,0.5454159592529711,0.07620022559700244,20.465401638985057,184.18861475086553,20.465401638985057,3.231113488427456,3.231113488427456,6.462226976854911,0.051052538173714246,0.051052538173714246,1.191225890719999
2019-02-26,0.09751736466095683,5.650104166666667,0,369.44446781949057,126.3866,0.49889135254988914,0.534804753820034,0.07758568424422067,20.640694158376792,185.76624742539113,20.640694158376792,3.2976305876270677,3.2976305876270677,6.5952611752541355,0.05398329057764763,0.05398329057764763,1.2596101134784448
2019-02-27,0.09231755988014084,5.5910416666666665,0,370.00311199396964,126.3866,0.49889135254988914,0.5241935483870968,0.07897114289143889,20.815986677768528,187.34388009991676,20.815986677768528,3.36414768682668,3.36414768682668,6.728295373653359,0.05691404298158102,0.05691404298158102,1.3279943362368904
2019-02-28,0.08666665287739278,6.487395833333333,0,361.67794419747196,126.3866,0.49889135254988914,0.5135823429541596,0.08035660153865712,20.991279197160264,188.92151277444236,20.991279197160264,3.4306647860262913,3.4306647860262913,6.861329572052583,0.059844795385514404,0.059844795385514404,1.396378558995336
2019-03-01,0.08622512814308111,5.7334375,0,368.6587102650939,126.3866,0.49889135254988914,0.5029711375212224,0.08174206018587535,21.166571716552,190.49914544896797,21.166571716552,3.4971818852259036,3.4971818852259036,6.994363770451807,0.0627755477894478,0.0627755477894478,1.4647627817537818
2019-03-02,0.08751974421467082,6.505520833333334,0,361.5129295641258,126.3866,0.49889135254988914,0.4923599320882852,0.08312751883309358,21.34186423594373,192.0767781234936,21.34186423594373,3.563698984425516,3.563698984425516,7.127397968851031,0.06570630019338118,0.06570630019338118,1.5331470045122275
2019-03-03,0.08656047332896301,6.128229166666666,0,364.97482130710785,126.3866,0.49889135254988914,0.48174872665534807,0.08451297748031181,21.517156755335467,193.6544107980192,21.517156755335467,3.630216083625127,3.630216083625127,7.260432167250254,0.06863705259731456,0.06863705259731456,1.601531227270673
2019-03-04,0.09145792534295694,5.480625,0,371.05137712665055,126.3866,0.49889135254988914,0.47113752122241087,0.08589843612753002,21.692449274727203,195.23204347254483,21.692449274727203,3.6967331828247394,3.6967331828247394,7.393466365649479,0.07156780500124794,0.07156780500124794,1.6699154500291187
