
############## carina - 07/24/20 18:10:17 EDT -0400 ##############

2020-07-24 18:10:17 PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
2020-07-25 01:16:48 64 bytes from 8.8.8.8: icmp_seq=83 ttl=114 time=48.0 ms
2020-07-25 01:17:48 64 bytes from 8.8.8.8: icmp_seq=84 ttl=114 time=82.4 ms
2020-07-25 01:18:48 64 bytes from 8.8.8.8: icmp_seq=85 ttl=114 time=53.7 ms
2020-07-25 01:19:48 64 bytes from 8.8.8.8: icmp_seq=86 ttl=114 time=62.8 ms
2020-07-25 01:20:48 64 bytes from 8.8.8.8: icmp_seq=87 ttl=114 time=55.5 ms
2020-07-25 01:21:48 64 bytes from 8.8.8.8: icmp_seq=88 ttl=114 time=61.2 ms
2020-07-25 01:22:48 64 bytes from 8.8.8.8: icmp_seq=89 ttl=114 time=50.6 ms
2020-07-25 01:23:48 64 bytes from 8.8.8.8: icmp_seq=90 ttl=114 time=52.7 ms
2020-07-25 01:24:48 64 bytes from 8.8.8.8: icmp_seq=91 ttl=114 time=64.1 ms
2020-07-25 01:25:48 64 bytes from 8.8.8.8: icmp_seq=92 ttl=114 time=70.5 ms
2020-07-25 01:26:48 64 bytes from 8.8.8.8: icmp_seq=93 ttl=114 time=52.4 ms
2020-07-25 01:27:48 64 bytes from 8.8.8.8: icmp_seq=94 ttl=114 time=60.7 ms
2020-07-25 01:28:48 64 bytes from 8.8.8.8: icmp_seq=95 ttl=114 time=60.8 ms
2020-07-25 01:29:48 64 bytes from 8.8.8.8: icmp_seq=96 ttl=114 time=73.2 ms
2020-07-25 01:30:48 64 bytes from 8.8.8.8: icmp_seq=97 ttl=114 time=55.9 ms
2020-07-25 01:31:48 64 bytes from 8.8.8.8: icmp_seq=98 ttl=114 time=53.4 ms
2020-07-25 01:32:48 64 bytes from 8.8.8.8: icmp_seq=99 ttl=114 time=67.5 ms
2020-07-25 01:33:48 64 bytes from 8.8.8.8: icmp_seq=100 ttl=114 time=48.2 ms
2020-07-25 01:34:48 64 bytes from 8.8.8.8: icmp_seq=101 ttl=114 time=65.1 ms
2020-07-25 01:35:48 64 bytes from 8.8.8.8: icmp_seq=102 ttl=114 time=50.8 ms
2020-07-25 01:36:48 64 bytes from 8.8.8.8: icmp_seq=103 ttl=114 time=75.6 ms
2020-07-25 01:37:48 64 bytes from 8.8.8.8: icmp_seq=104 ttl=114 time=56.8 ms
2020-07-25 01:38:48 64 bytes from 8.8.8.8: icmp_seq=105 ttl=114 time=70.8 ms
2020-07-25 01:39:48 64 bytes from 8.8.8.8: icmp_seq=106 ttl=114 time=43.4 ms
2020-07-25 01:40:48 64 bytes from 8.8.8.8: icmp_seq=107 ttl=114 time=75.9 ms
2020-07-25 01:41:48 64 bytes from 8.8.8.8: icmp_seq=108 ttl=114 time=52.1 ms
2020-07-25 01:42:48 64 bytes from 8.8.8.8: icmp_seq=109 ttl=114 time=54.7 ms
2020-07-25 01:43:48 64 bytes from 8.8.8.8: icmp_seq=110 ttl=114 time=114 ms
2020-07-25 01:44:48 64 bytes from 8.8.8.8: icmp_seq=111 ttl=114 time=57.1 ms
2020-07-25 01:45:48 64 bytes from 8.8.8.8: icmp_seq=112 ttl=114 time=92.1 ms
2020-07-25 01:46:48 64 bytes from 8.8.8.8: icmp_seq=113 ttl=114 time=56.7 ms
2020-07-25 01:47:48 64 bytes from 8.8.8.8: icmp_seq=114 ttl=114 time=53.8 ms
2020-07-25 01:48:48 64 bytes from 8.8.8.8: icmp_seq=115 ttl=114 time=48.8 ms
2020-07-25 01:49:48 64 bytes from 8.8.8.8: icmp_seq=116 ttl=114 time=56.3 ms
2020-07-25 01:50:48 64 bytes from 8.8.8.8: icmp_seq=117 ttl=114 time=50.0 ms
2020-07-25 01:51:48 64 bytes from 8.8.8.8: icmp_seq=118 ttl=114 time=61.0 ms
2020-07-25 01:52:48 64 bytes from 8.8.8.8: icmp_seq=119 ttl=114 time=54.5 ms
2020-07-25 01:53:48 64 bytes from 8.8.8.8: icmp_seq=120 ttl=114 time=54.2 ms
2020-07-25 01:54:48 64 bytes from 8.8.8.8: icmp_seq=121 ttl=114 time=62.4 ms
2020-07-25 01:55:48 64 bytes from 8.8.8.8: icmp_seq=122 ttl=114 time=56.8 ms
2020-07-25 01:56:48 64 bytes from 8.8.8.8: icmp_seq=123 ttl=114 time=47.4 ms
2020-07-25 01:57:48 64 bytes from 8.8.8.8: icmp_seq=124 ttl=114 time=46.4 ms
2020-07-25 01:58:48 64 bytes from 8.8.8.8: icmp_seq=125 ttl=114 time=58.0 ms
2020-07-25 01:59:49 64 bytes from 8.8.8.8: icmp_seq=126 ttl=114 time=50.7 ms
2020-07-25 02:00:49 64 bytes from 8.8.8.8: icmp_seq=127 ttl=114 time=58.3 ms
2020-07-25 02:01:49 64 bytes from 8.8.8.8: icmp_seq=128 ttl=114 time=57.7 ms
2020-07-25 02:02:49 64 bytes from 8.8.8.8: icmp_seq=129 ttl=114 time=60.8 ms
2020-07-25 02:03:49 64 bytes from 8.8.8.8: icmp_seq=130 ttl=114 time=67.2 ms
2020-07-25 02:04:49 64 bytes from 8.8.8.8: icmp_seq=131 ttl=114 time=56.1 ms
2020-07-25 02:05:49 64 bytes from 8.8.8.8: icmp_seq=132 ttl=114 time=49.0 ms
2020-07-25 02:06:49 64 bytes from 8.8.8.8: icmp_seq=133 ttl=114 time=54.9 ms
2020-07-25 02:07:49 64 bytes from 8.8.8.8: icmp_seq=134 ttl=114 time=59.0 ms
2020-07-25 02:08:49 64 bytes from 8.8.8.8: icmp_seq=135 ttl=114 time=52.7 ms
2020-07-25 02:09:49 64 bytes from 8.8.8.8: icmp_seq=136 ttl=114 time=68.0 ms
2020-07-25 02:10:49 64 bytes from 8.8.8.8: icmp_seq=137 ttl=114 time=64.9 ms
2020-07-25 02:11:49 64 bytes from 8.8.8.8: icmp_seq=138 ttl=114 time=59.0 ms
2020-07-25 02:12:49 64 bytes from 8.8.8.8: icmp_seq=139 ttl=114 time=61.8 ms
2020-07-25 02:13:49 64 bytes from 8.8.8.8: icmp_seq=140 ttl=114 time=48.3 ms
2020-07-25 02:14:49 64 bytes from 8.8.8.8: icmp_seq=141 ttl=114 time=96.1 ms
2020-07-25 02:15:49 64 bytes from 8.8.8.8: icmp_seq=142 ttl=114 time=67.6 ms
2020-07-25 02:16:49 64 bytes from 8.8.8.8: icmp_seq=143 ttl=114 time=58.6 ms
2020-07-25 02:17:49 64 bytes from 8.8.8.8: icmp_seq=144 ttl=114 time=69.4 ms
2020-07-25 02:18:49 64 bytes from 8.8.8.8: icmp_seq=145 ttl=114 time=58.1 ms
2020-07-25 02:19:49 64 bytes from 8.8.8.8: icmp_seq=146 ttl=114 time=54.6 ms
2020-07-25 02:20:49 64 bytes from 8.8.8.8: icmp_seq=147 ttl=114 time=50.7 ms
2020-07-25 02:21:50 64 bytes from 8.8.8.8: icmp_seq=148 ttl=114 time=76.0 ms
2020-07-25 02:22:50 64 bytes from 8.8.8.8: icmp_seq=149 ttl=114 time=69.1 ms
2020-07-25 02:23:50 64 bytes from 8.8.8.8: icmp_seq=150 ttl=114 time=61.2 ms
2020-07-25 02:24:50 64 bytes from 8.8.8.8: icmp_seq=151 ttl=114 time=87.0 ms
2020-07-25 02:25:50 64 bytes from 8.8.8.8: icmp_seq=152 ttl=114 time=59.4 ms
2020-07-25 02:26:50 64 bytes from 8.8.8.8: icmp_seq=153 ttl=114 time=49.4 ms
2020-07-25 02:27:50 64 bytes from 8.8.8.8: icmp_seq=154 ttl=114 time=50.4 ms
2020-07-25 02:28:50 64 bytes from 8.8.8.8: icmp_seq=155 ttl=114 time=68.3 ms
2020-07-25 02:29:50 64 bytes from 8.8.8.8: icmp_seq=156 ttl=114 time=56.9 ms
2020-07-25 02:30:50 64 bytes from 8.8.8.8: icmp_seq=157 ttl=114 time=49.2 ms
2020-07-25 02:31:50 64 bytes from 8.8.8.8: icmp_seq=158 ttl=114 time=45.7 ms
2020-07-25 02:32:50 64 bytes from 8.8.8.8: icmp_seq=159 ttl=114 time=57.7 ms
2020-07-25 02:33:50 64 bytes from 8.8.8.8: icmp_seq=160 ttl=114 time=79.4 ms
2020-07-25 02:34:50 64 bytes from 8.8.8.8: icmp_seq=161 ttl=114 time=56.2 ms
2020-07-25 02:35:50 64 bytes from 8.8.8.8: icmp_seq=162 ttl=114 time=68.9 ms
2020-07-25 02:36:50 64 bytes from 8.8.8.8: icmp_seq=163 ttl=114 time=56.7 ms
2020-07-25 02:37:50 64 bytes from 8.8.8.8: icmp_seq=164 ttl=114 time=53.1 ms
2020-07-25 02:38:50 64 bytes from 8.8.8.8: icmp_seq=165 ttl=114 time=69.5 ms
2020-07-25 02:39:50 64 bytes from 8.8.8.8: icmp_seq=166 ttl=114 time=63.2 ms
2020-07-25 02:40:50 64 bytes from 8.8.8.8: icmp_seq=167 ttl=114 time=45.6 ms
